Protein IDs,Protein names,Gene,Intensity
P56960,Exosome component 10,Exosc10,8875100
P57716,Nicastrin,Ncstn,64137000
P57746,V-type proton ATPase subunit D,Atp6v1d,57962000
P57759,Endoplasmic reticulum resident protein 29,Erp29,107860000
P57774,Pro-neuropeptide Y;Neuropeptide Y;C-flanking peptide of NPY,Npy,8281000
P57776;P57776-2;P57776-3,Elongation factor 1-delta,Eef1d,2824100000
P57780,Alpha-actinin-4,Actn4,10533000000
P57784,U2 small nuclear ribonucleoprotein A,Snrpa1,278900000
P58021,Transmembrane 9 superfamily member 2,Tm9sf2,62175000
P58044,Isopentenyl-diphosphate Delta-isomerase 1,Idi1,846570000
P58058,NAD kinase,Nadk,12317000
P58064,"28S ribosomal protein S6, mitochondrial",Mrps6,19654000
P58137,Acyl-coenzyme A thioesterase 8,Acot8,128840000
P58252,Elongation factor 2,Eef2,17582000000
P58281;P58281-2,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",Opa1,919040000
P58389,Serine/threonine-protein phosphatase 2A activator,Ppp2r4,206550000
P58404-2;P58404,Striatin-4,Strn4,17115000
P58466,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Ctdsp1,12378000
P58710,L-gulonolactone oxidase,Gulo,4867900000
P58735,Sulfate anion transporter 1,Slc26a1,193400000
P58742,Aladin,Aaas,1442100
P58771,Tropomyosin alpha-1 chain,Tpm1,2386800000
P58771-2,Tropomyosin alpha-1 chain,Tpm1,168610000
P58774,Tropomyosin beta chain,Tpm2,7603000000
P58774-2,Tropomyosin beta chain,Tpm2,15341000
P58871,182 kDa tankyrase-1-binding protein,Tnks1bp1,227150000
P59017,Bcl-2-like protein 13,Bcl2l13,30837000
P59048,p53 and DNA damage-regulated protein 1,Pdrg1,2140200
P59108,Copine-2,Cpne2,6328100
P59235,Nucleoporin Nup43,Nup43,4996900
P59242-2;P59242,Cingulin,Cgn,412130000
P59325,Eukaryotic translation initiation factor 5,Eif5,583900000
P59326,YTH domain-containing family protein 1,Ythdf1,5751800
P59708,Splicing factor 3B subunit 6,Sf3b6,22999000
P59759,MKL/myocardin-like protein 2,Mkl2,4933400
P59913,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,Pcmtd1,59706000
P59999,Actin-related protein 2/3 complex subunit 4,Arpc4,146020000
P60060,Protein transport protein Sec61 subunit gamma,Sec61g,23672000
P60122,RuvB-like 1,Ruvbl1,354510000
P60229,Eukaryotic translation initiation factor 3 subunit E,Eif3e,462960000
P60334,Cysteine dioxygenase type 1,Cdo1,596990000
P60335;P57724,Poly(rC)-binding protein 1,Pcbp1,4891400000
P60521,Gamma-aminobutyric acid receptor-associated protein-like 2,Gabarapl2,2878800
P60603,Reactive oxygen species modulator 1,Romo1,18395000
P60605,Ubiquitin-conjugating enzyme E2 G2,Ube2g2,77048000
P60670;P60670-2,Nuclear protein localization protein 4 homolog,Nploc4,225360000
P60710;Q8BFZ3,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",Actb,1.24E+11
P60766;P60766-1;Q9ER71-2;Q8R527;Q9ER71,Cell division control protein 42 homolog,Cdc42,894460000
P60824,Cold-inducible RNA-binding protein,Cirbp,8758200
P60843,Eukaryotic initiation factor 4A-I,Eif4a1,4874200000
P60867,40S ribosomal protein S20,Rps20,1388600000
P61021,Ras-related protein Rab-5B,Rab5b,67806000
P61022,Calcineurin B homologous protein 1,Chp1,50667000
P61027,Ras-related protein Rab-10,Rab10,267540000
P61028,Ras-related protein Rab-8B,Rab8b,2750700
P62838;P61079;Q6ZWY6,Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3,Ube2d2;Ube2d3,172560000
P61080,Ubiquitin-conjugating enzyme E2 D1,Ube2d1,5931000
P61082,NEDD8-conjugating enzyme Ubc12,Ube2m,130960000
P61087,Ubiquitin-conjugating enzyme E2 K,Ube2k,115890000
P61089;Q9CQ37,Ubiquitin-conjugating enzyme E2 N,Ube2n,1251300000
P61148,Fibroblast growth factor 1,Fgf1,15342000
P61161,Actin-related protein 2,Actr2,1372400000
P61164,Alpha-centractin,Actr1a,283100000
P61202;P61202-2,COP9 signalosome complex subunit 2,Cops2,577630000
P84078;P61205;Q8BSL7,ADP-ribosylation factor 1;ADP-ribosylation factor 3;ADP-ribosylation factor 2,Arf1;Arf3;Arf2,963880000
P61211,ADP-ribosylation factor-like protein 1,Arl1,121350000
P61222,ATP-binding cassette sub-family E member 1,Abce1,930760000
P61226;Q80ZJ1-2,Ras-related protein Rap-2b;Ras-related protein Rap-2a,Rap2b;Rap2a,4344700
P61255,60S ribosomal protein L26,Rpl26,1518700000
P61290,Proteasome activator complex subunit 3,Psme3,85517000
P61327;Q9CQL1,Protein mago nashi homolog;Protein mago nashi homolog 2,Magoh;Magohb,166000000
P61358,60S ribosomal protein L27,Rpl27,2568600000
P61458,Pterin-4-alpha-carbinolamine dehydratase,Pcbd1,687090000
P61514,60S ribosomal protein L37a,Rpl37a,173530000
P61620;Q9JLR1,Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 2,Sec61a1;Sec61a2,392370000
P61750,ADP-ribosylation factor 4,Arf4,421120000
P61759,Prefoldin subunit 3,Vbp1,35712000
P61804,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,Dad1,147690000
P61922;P61922-2,"4-aminobutyrate aminotransferase, mitochondrial",Abat,8264800000
P61924,Coatomer subunit zeta-1,Copz1,244360000
P61953,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11,Gng11,5607800
P61961,Ubiquitin-fold modifier 1,Ufm1,176230000
P61965,WD repeat-containing protein 5,Wdr5,25165000
P61967,AP-1 complex subunit sigma-1A,Ap1s1,50724000
P61971,Nuclear transport factor 2,Nutf2,462650000
P61979-3;P61979;P61979-2,Heterogeneous nuclear ribonucleoprotein K,Hnrnpk,5243900000
P61982,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",Ywhag,3867200000
P62071,Ras-related protein R-Ras2,Rras2,90542000
P62073,Mitochondrial import inner membrane translocase subunit Tim10,Timm10,75277000
P62075,Mitochondrial import inner membrane translocase subunit Tim13,Timm13,553280000
P62077,Mitochondrial import inner membrane translocase subunit Tim8 B,Timm8b,323410000
P62082,40S ribosomal protein S7,Rps7,7837300000
P62137,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Ppp1ca,499160000
P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Ppp1cb,110360000
P62192,26S protease regulatory subunit 4,Psmc1,2188400000
P62196,26S protease regulatory subunit 8,Psmc5,1413900000
P62242,40S ribosomal protein S8,Rps8,4432400000
P62245,40S ribosomal protein S15a,Rps15a,1224600000
P62254,"Ubiquitin-conjugating enzyme E2 G1;Ubiquitin-conjugating enzyme E2 G1, N-terminally processed",Ube2g1,32862000
P62257,Ubiquitin-conjugating enzyme E2 H,Ube2h,40843000
P62259,14-3-3 protein epsilon,Ywhae,12975000000
P62264,40S ribosomal protein S14,Rps14,2452400000
P62267,40S ribosomal protein S23,Rps23,2528200000
P62270,40S ribosomal protein S18,Rps18,3457700000
P62274,40S ribosomal protein S29,Rps29,885500000
P62281,40S ribosomal protein S11,Rps11,3992100000
P62301,40S ribosomal protein S13,Rps13,4944600000
P62305,Small nuclear ribonucleoprotein E,Snrpe,43257000
P62307,Small nuclear ribonucleoprotein F,Snrpf,14265000
P62309,Small nuclear ribonucleoprotein G,Snrpg,6293200
P62311,U6 snRNA-associated Sm-like protein LSm3,Lsm3,0
P62313,U6 snRNA-associated Sm-like protein LSm6,Lsm6,106610000
P62315,Small nuclear ribonucleoprotein Sm D1,Snrpd1,215140000
P62317,Small nuclear ribonucleoprotein Sm D2,Snrpd2,819650000
P62320,Small nuclear ribonucleoprotein Sm D3,Snrpd3,556200000
P62322,U6 snRNA-associated Sm-like protein LSm5,Lsm5,49051000
P62331,ADP-ribosylation factor 6,Arf6,210300000
P62334,26S protease regulatory subunit 10B,Psmc6,1946000000
P62342,Selenoprotein T,Selt,20898000
P62488,DNA-directed RNA polymerase II subunit RPB7,Polr2g,8858000
P62500-2;P62500-3;P62500;Q9EQN3,TSC22 domain family protein 1;TSC22 domain family protein 4,Tsc22d1;Tsc22d4,8500800
P62627,Dynein light chain roadblock-type 1,Dynlrb1,109010000
P62631,Elongation factor 1-alpha 2,Eef1a2,30723000
P62702,"40S ribosomal protein S4, X isoform",Rps4x,6547300000
P62715,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,Ppp2cb,7781100
P62717,60S ribosomal protein L18a,Rpl18a,1660900000
P62743,AP-2 complex subunit sigma,Ap2s1,195540000
P62748,Hippocalcin-like protein 1,Hpcal1,42921000
P62751,60S ribosomal protein L23a,Rpl23a,2332000000
P62754,40S ribosomal protein S6,Rps6,2599800000
P62774,Myotrophin,Mtpn,281720000
P62806,Histone H4,Hist1h4a,22492000000
P62814,"V-type proton ATPase subunit B, brain isoform",Atp6v1b2,495250000
P62821;Q9DD03;Q8K386,Ras-related protein Rab-1A,Rab1A,1618600000
P62827;Q61820,GTP-binding nuclear protein Ran,Ran,2048100000
P62830,60S ribosomal protein L23,Rpl23,2049500000
P62835,Ras-related protein Rap-1A,Rap1a,749160000
P62843,40S ribosomal protein S15,Rps15,749620000
P62849-2;P62849-3;P62849,40S ribosomal protein S24,Rps24,750840000
P62852,40S ribosomal protein S25,Rps25,2288000000
P62855,40S ribosomal protein S26,Rps26,791850000
P62858,40S ribosomal protein S28,Rps28,3889600000
P62862,40S ribosomal protein S30,Fau,500600000
P62869,Transcription elongation factor B polypeptide 2,Tceb2,985230000
P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Gnb1,101810000
P62876,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",Polr2l,7053600
P62880;P29387;Q61011,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Gnb2,1531500000
P62889,60S ribosomal protein L30,Rpl30,1023800000
P62897;CON__P62894;P00015,"Cytochrome c, somatic",Cycs,7003300000
P62900,60S ribosomal protein L31,Rpl31,4214500000
P62908,40S ribosomal protein S3,Rps3,4440800000
P62911;P17932,60S ribosomal protein L32,Rpl32,2147200000
P62915,Transcription initiation factor IIB,Gtf2b,5536500
P62918,60S ribosomal protein L8,Rpl8,3172500000
P62960,Nuclease-sensitive element-binding protein 1,Ybx1,455590000
P62983;P62984;P0CG49;P0CG50,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2,Rps27a;Uba52;Ubb;Ubc,2964600000
P62996,Transformer-2 protein homolog beta,Tra2b,111630000
P63001;P60764;Q05144,Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 3;Ras-related C3 botulinum toxin substrate 2,Rac1;Rac3;Rac2,501520000
P63005;P63005-2,Platelet-activating factor acetylhydrolase IB subunit alpha,Pafah1b1,246730000
P63011,Ras-related protein Rab-3A,Rab3a,6197300
P63017,Heat shock cognate 71 kDa protein,Hspa8,47963000000
P63024;P63044,Vesicle-associated membrane protein 3;Vesicle-associated membrane protein 2,Vamp3;Vamp2,41839000
P63028,Translationally-controlled tumor protein,Tpt1,2022300000
P63030,Mitochondrial pyruvate carrier 1,Mpc1,704350000
P63037,DnaJ homolog subfamily A member 1,Dnaja1,1779300000
P63038;P63038-2,"60 kDa heat shock protein, mitochondrial",Hspd1,47563000000
P63073,Eukaryotic translation initiation factor 4E,Eif4e,538540000
P63085,Mitogen-activated protein kinase 1,Mapk1,368680000
P63087;P63087-2,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Ppp1cc,17351000
P63094-2;P63094;Q6R0H7-4;Q6R0H7;P63094-3,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,Gnas,148200000
P63101,14-3-3 protein zeta/delta,Ywhaz,7105100000
P63147,Ubiquitin-conjugating enzyme E2 B,Ube2b,26942000
P63158,High mobility group protein B1,Hmgb1,2020500000
P63166,Small ubiquitin-related modifier 1,Sumo1,28606000
P63242;Q8BGY2,Eukaryotic translation initiation factor 5A-1,Eif5a,3676700000
P63260,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",Actg1,289510000
Q9Z199;P63271,Transcription elongation factor SPT4-B;Transcription elongation factor SPT4-A,Supt4h1b;Supt4h1a,65196000
P63276,40S ribosomal protein S17,Rps17,1600900000
P63280,SUMO-conjugating enzyme UBC9,Ube2i,180740000
P63321,Ras-related protein Ral-A,Rala,11959000
P63323,40S ribosomal protein S12,Rps12,3215000000
P63325,40S ribosomal protein S10,Rps10,3308200000
P63328-2;P63328,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Ppp3ca,57974000
P63330,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Ppp2ca,558570000
P67778,Prohibitin,Phb,5824400000
P67871,Casein kinase II subunit beta,Csnk2b,178190000
P67984,60S ribosomal protein L22,Rpl22,1387700000
P68033;P62737;P63268,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",Actc1;Acta2;Actg2,31468000
P68037,Ubiquitin-conjugating enzyme E2 L3,Ube2l3,1103000000
P68040,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",Gnb2l1,4814500000
P68134,"Actin, alpha skeletal muscle",Acta1,11139000000
P68181-2;P68181-3;P68181;P68181-4,cAMP-dependent protein kinase catalytic subunit beta,Prkacb,100540000
P68254;P68254-2,14-3-3 protein theta,Ywhaq,973650000
P68368,Tubulin alpha-4A chain,Tuba4a,1630300000
P68369;P05214,Tubulin alpha-1A chain;Tubulin alpha-3 chain,Tuba1a;Tuba3a,193450000
P68372;Q9D6F9,Tubulin beta-4B chain;Tubulin beta-4A chain,Tubb4b;Tubb4a,18979000000
P68373;Q9JJZ2,Tubulin alpha-1C chain,Tuba1c,11046000000
P68433,Histone H3.1,Hist1h3a,14827000000
P68510,14-3-3 protein eta,Ywhah,1226100000
P70122,Ribosome maturation protein SBDS,Sbds,293140000
P70158,Acid sphingomyelinase-like phosphodiesterase 3a,Smpdl3a,15083000
P70168,Importin subunit beta-1,Kpnb1,1415900000
P70194,C-type lectin domain family 4 member F,Clec4f,106220000
P70195,Proteasome subunit beta type-7,Psmb7,1696700000
P70202,Latexin,Lxn,10506000
P70206,Plexin-A1,Plxna1,2721500
P70236,Dual specificity mitogen-activated protein kinase kinase 6,Map2k6,3652100
P70245,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Ebp,516350000
P70257-1;P70257-2;P70257;Q02780-6;Q02780-2;Q02780-5;Q02780-3;Q02780-7;Q02780-4;Q02780;P70255-7;P70255-6;P70255-5;P70255-4;P70255-3;P70255-2;P70255,Nuclear factor 1 X-type,Nfix,68061000
P70261,Paladin,Pald1,9734700
P70266;P70266-2;Q6DTY7-2;Q6DTY7-6;Q6DTY7-5;Q6DTY7;P70265,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",Pfkfb1,167990000
P70274,Selenoprotein P,Sepp1,63548000
P70280,Vesicle-associated membrane protein 7,Vamp7,15266000
P70288,Histone deacetylase 2,Hdac2,11545000
P70290,55 kDa erythrocyte membrane protein,Mpp1,126480000
P70295,Ancient ubiquitous protein 1,Aup1,82998000
P70296;Q8VIN1-2;Q8VIN1,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,Pebp1,4577900000
P70297,Signal transducing adapter molecule 1,Stam,15788000
P70302,Stromal interaction molecule 1,Stim1,13623000
P70315,Wiskott-Aldrich syndrome protein homolog,Was,1797800
P70318;P52912,Nucleolysin TIAR;Nucleolysin TIA-1,Tial1;Tia1,68932000
P70333,Heterogeneous nuclear ribonucleoprotein H2,Hnrnph2,203520000
P70335-2;P70335,Rho-associated protein kinase 1,Rock1,112740000
P70336;P70336-2,Rho-associated protein kinase 2,Rock2,61809000
P70349,Histidine triad nucleotide-binding protein 1,Hint1,2663400000
P70353,Nuclear transcription factor Y subunit gamma,Nfyc,4464200
P70362,Ubiquitin fusion degradation protein 1 homolog,Ufd1l,109190000
P70372,ELAV-like protein 1,Elavl1,737640000
P70387,Hereditary hemochromatosis protein homolog,Hfe,23168000
P70388-4;P70388-2;P70388,DNA repair protein RAD50,Rad50,3643400
P70389,Insulin-like growth factor-binding protein complex acid labile subunit,Igfals,42096000
P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,Usp9x,326690000
P70404,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial",Idh3g,353160000
P70441;P70441-2,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,Slc9a3r1,2160000000
P70444,BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11,Bid,160130000
P70445,Eukaryotic translation initiation factor 4E-binding protein 2,Eif4ebp2,11123000
P70452,Syntaxin-4,Stx4,9416200
P70460,Vasodilator-stimulated phosphoprotein,Vasp,60732000
P70665;P70665-3;P70665-2,Sialate O-acetylesterase;Sialate O-acetylesterase small subunit;Sialate O-acetylesterase large subunit,Siae,28737000
P70670;Q60817,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",Naca,616540000
P70671,Interferon regulatory factor 3,Irf3,195260000
P70677,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,Casp3,258700000
P70694,Estradiol 17 beta-dehydrogenase 5,Akr1c6,38167000000
P70697,Uroporphyrinogen decarboxylase,Urod,566070000
P70698,CTP synthase 1,Ctps1,21895000
P70699,Lysosomal alpha-glucosidase,Gaa,363920000
P80313,T-complex protein 1 subunit eta,Cct7,2514500000
P80314,T-complex protein 1 subunit beta,Cct2,3761000000
P80315,T-complex protein 1 subunit delta,Cct4,1893500000
P80316,T-complex protein 1 subunit epsilon,Cct5,4168400000
P80317,T-complex protein 1 subunit zeta,Cct6a,2991800000
P80318,T-complex protein 1 subunit gamma,Cct3,2749900000
P81117,Nucleobindin-2;Nesfatin-1,Nucb2,17155000
P81122,Insulin receptor substrate 2,Irs2,1970400
P82198,Transforming growth factor-beta-induced protein ig-h3,Tgfbi,37686000
P83741-6;P83741-4;P83741-5;P83741;P83741-2;P83741-3;Q80XP9-2;Q80XP9;Q3UH66-6;Q3UH66-2;Q3UH66-7;Q3UH66-4;Q3UH66-3;Q3UH66;Q3UH66-5,Serine/threonine-protein kinase WNK1;Serine/threonine-protein kinase WNK3;Serine/threonine-protein kinase WNK2,Wnk1;Wnk3;Wnk2,3786700
P83882,60S ribosomal protein L36a,Rpl36a,788490000
P83887;Q8VCK3,Tubulin gamma-1 chain;Tubulin gamma-2 chain,Tubg1;Tubg2,22936000
P83917,Chromobox protein homolog 1,Cbx1,46045000
P83940,Transcription elongation factor B polypeptide 1,Tceb1,416850000
P84075,Neuron-specific calcium-binding protein hippocalcin,Hpca,12967000
P84084,ADP-ribosylation factor 5,Arf5,1392000000
P84089,Enhancer of rudimentary homolog,Erh,378940000
P84091,AP-2 complex subunit mu,Ap2m1,456760000
P84096,Rho-related GTP-binding protein RhoG,Rhog,51767000
P84099,60S ribosomal protein L19,Rpl19,1503600000
P84104-2;P84104,Serine/arginine-rich splicing factor 3,Srsf3,530610000
P84228,Histone H3.2,Hist1h3b,156270000
P85094,"Isochorismatase domain-containing protein 2A, mitochondrial",Isoc2a,1510600000
P97290,Plasma protease C1 inhibitor,Serping1,222770000
P97298,Pigment epithelium-derived factor,Serpinf1,67806000
P97300-3;P97300-1;P97300;P97300-4,Neuroplastin,Nptn,18387000
P97310,DNA replication licensing factor MCM2,Mcm2,7378900
P97315,Cysteine and glycine-rich protein 1,Csrp1,163400000
P97328,Ketohexokinase,Khk,11508000000
P97351,40S ribosomal protein S3a,Rps3a,12980000000
P97352,Protein S100-A13,S100a13,647300000
P97364,"Selenide, water dikinase 2",Sephs2,2325200000
P97366,Ecotropic viral integration site 5 protein,Evi5,23707000
P97370,Sodium/potassium-transporting ATPase subunit beta-3,Atp1b3,142500000
P97371,Proteasome activator complex subunit 1,Psme1,4291800000
P97372,Proteasome activator complex subunit 2,Psme2,1251900000
P97376,Protein FRG1,Frg1,17545000
P97379;P97379-2,Ras GTPase-activating protein-binding protein 2,G3bp2,263030000
P97384,Annexin A11,Anxa11,558580000
P97390,Vacuolar protein sorting-associated protein 45,Vps45,25992000
P97393,Rho GTPase-activating protein 5,Arhgap5,23110000
P97429,Annexin A4,Anxa4,1633100000
P97434-3;P97434;P97434-5;P97434-2;P97434-4,Myosin phosphatase Rho-interacting protein,Mprip,73951000
P97447;P97447-2,Four and a half LIM domains protein 1,Fhl1,591830000
P97449,Aminopeptidase N,Anpep,604060000
P97450,"ATP synthase-coupling factor 6, mitochondrial",Atp5j,1859900000
P97452,Ribosome biogenesis protein BOP1,Bop1,6683400
P97457,"Myosin regulatory light chain 2, skeletal muscle isoform",Mylpf,5184200000
P97461,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",Rps5,1383100000
P97470,Serine/threonine-protein phosphatase 4 catalytic subunit,Ppp4c,18751000
P97471,Mothers against decapentaplegic homolog 4,Smad4,5237300
P97478,"5-demethoxyubiquinone hydroxylase, mitochondrial",Coq7,326280000
P97493,"Thioredoxin, mitochondrial",Txn2,177980000
P97494,Glutamate--cysteine ligase catalytic subunit,Gclc,3503200000
P97496-2;P97496,SWI/SNF complex subunit SMARCC1,Smarcc1,3041800
P97499,Telomerase protein component 1,Tep1,6286700
P97501,Dimethylaniline monooxygenase [N-oxide-forming] 3,Fmo3,5661000000
P97742,"Carnitine O-palmitoyltransferase 1, liver isoform",Cpt1a,1458000000
P97760,DNA-directed RNA polymerase II subunit RPB3,Polr2c,14025000
P97765;P97765-2,WW domain-binding protein 2,Wbp2,184510000
P97770-2;P97770;P97770-3,THUMP domain-containing protein 3,Thumpd3,19428000
P97792;P97792-2;P97792-3,Coxsackievirus and adenovirus receptor homolog,Cxadr,58836000
P97807-2;P97807,"Fumarate hydratase, mitochondrial",Fh,12579000000
P97819-2;P97819,85/88 kDa calcium-independent phospholipase A2,Pla2g6,28956000
P97821,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,Ctsc,589670000
P97822-2;P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Anp32e,32463000
P97823;P97823-2,Acyl-protein thioesterase 1,Lypla1,2539700000
P97825,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",Hn1,9167300
P97855,Ras GTPase-activating protein-binding protein 1,G3bp1,676540000
P97863-3;P97863-2;P97863,Nuclear factor 1 B-type,Nfib,21296000
P97864,Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11,Casp7,40231000
P97865,Peroxisomal targeting signal 2 receptor,Pex7,59526000
P97868-2;P97868,E3 ubiquitin-protein ligase RBBP6,Rbbp6,2997500
P97872,Dimethylaniline monooxygenase [N-oxide-forming] 5,Fmo5,6530100000
P97927,Laminin subunit alpha-4,Lama4,36992000
P97930,Thymidylate kinase,Dtymk,17536000
P98064;P98064-2,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,Masp1,9168600
P98078-2;P98078;P98078-3,Disabled homolog 2,Dab2,56618000
P98083-3;P98083-2;P98083;Q61120;Q8BMC3,SHC-transforming protein 1,Shc1,74978000
P98192,Dihydroxyacetone phosphate acyltransferase,Gnpat,14384000
P98203-4;P98203-5;P98203-2;P98203;P98203-3,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,Arvcf,77093000
P99024,Tubulin beta-5 chain,Tubb5,753850000
P99025,GTP cyclohydrolase 1 feedback regulatory protein,Gchfr,1005500000
P99026,Proteasome subunit beta type-4,Psmb4,1714400000
P99027,60S acidic ribosomal protein P2,Rplp2,3352000000
P99028,"Cytochrome b-c1 complex subunit 6, mitochondrial",Uqcrh,2182100000
P99029-2;P99029,"Peroxiredoxin-5, mitochondrial",Prdx5,7303400000
Q00286;Q00286-2;Q00286-3,Pituitary-specific positive transcription factor 1,Pou1f1,18527000
Q00422,GA-binding protein alpha chain,Gabpa,9010100
Q00519,Xanthine dehydrogenase/oxidase;Xanthine dehydrogenase;Xanthine oxidase,Xdh,3466700000
Q00560,Interleukin-6 receptor subunit beta,Il6st,7963000
Q00612;P97324;REV__P46662,Glucose-6-phosphate 1-dehydrogenase X,G6pdx,233660000
Q00623,Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,Apoa1,15844000000
Q00724,Retinol-binding protein 4,Rbp4,181360000
Q00896,Alpha-1-antitrypsin 1-3,Serpina1c,2498700000
Q00897,Alpha-1-antitrypsin 1-4,Serpina1d,4616400000
Q00915,Retinol-binding protein 1,Rbp1,283160000
Q00977,Gap junction beta-2 protein,Gjb2,22285000
Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2,Hnrnpul2,429350000
Q01147-2;Q01147;P27699-11;P27699-10;P27699-2;P27699-8;P27699-7;P27699-6;P27699-5;P81269,Cyclic AMP-responsive element-binding protein 1;Cyclic AMP-dependent transcription factor ATF-1,Creb1;Atf1,23880000
Q01237,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,1373100
Q01279;P70424;Q61527-3;Q61527-2;Q61527,Epidermal growth factor receptor,Egfr,181570000
Q01339;CON__P17690,Beta-2-glycoprotein 1,Apoh,1109900000
Q01405,Protein transport protein Sec23A,Sec23a,1767900000
Q01730,Ras suppressor protein 1,Rsu1,256820000
Q01768,Nucleoside diphosphate kinase B,Nme2,5492200000
Q01853,Transitional endoplasmic reticulum ATPase,Vcp,12609000000
Q02013,Aquaporin-1,Aqp1,110200000
Q02053;P31254,Ubiquitin-like modifier-activating enzyme 1,Uba1,4922400000
Q02105,Complement C1q subcomponent subunit C,C1qc,6218900
Q02248,Catenin beta-1,Ctnnb1,5633900000
Q02257,Junction plakoglobin,Jup,442760000
Q02357;Q02357-3;Q02357-4;Q02357-6;Q02357-2;Q02357-5,Ankyrin-1,Ank1,513630000
Q02566,Myosin-6,Myh6,0
Q02614,SAP30-binding protein,Sap30bp,4561300
Q02788,Collagen alpha-2(VI) chain,Col6a2,211460000
Q02819,Nucleobindin-1,Nucb1,832450000
Q03160,Growth factor receptor-bound protein 7,Grb7,62320000
Q03249,Galactose-1-phosphate uridylyltransferase,Galt,320900000
Q03265,"ATP synthase subunit alpha, mitochondrial",Atp5a1,76072000000
Q03311,Cholinesterase,Bche,496900000
Q03517,Secretogranin-2;Secretoneurin;Manserin,Scg2,89114000
Q03734;P29621,Serine protease inhibitor A3M,Serpina3m,21191000
Q03958,Prefoldin subunit 6,Pfdn6,35300000
Q03963,"Interferon-induced, double-stranded RNA-activated protein kinase",Eif2ak2,23113000
Q04207-2;Q04207,Transcription factor p65,Rela,35363000
Q04447,Creatine kinase B-type,Ckb,259510000
Q04519,Sphingomyelin phosphodiesterase,Smpd1,10883000
Q04736;P39688-2;P39688;P08103-2;P06240;P08103,Tyrosine-protein kinase Yes;Tyrosine-protein kinase Fyn,Yes1;Fyn,9775000
Q04750,DNA topoisomerase 1,Top1,152020000
